HKEY_CLASSES_ROOT\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\SystemAppData\Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy\PersistedStorageItemTable\System\1d8941e3-6c0a-4e0a-85e5-b99fb3e71a09.Response.0   FilePath:\\?\Volume{03C99877-7CA5-4E1A-9437-02A8868EDFE0}\Users\정진우\AppData\Local\Packages\Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy\LocalState\StagedAssets\3adca56c5abdcdb858510c61faa733008065d521ca4a91ca9d66e6d6b0a95b3c -> \\?\Volume{03C99877-7CA5-4E1A-9437-02A8868EDFE0}\Users\jinwoo\AppData\Local\Packages\Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy\LocalState\StagedAssets\3adca56c5abdcdb858510c61faa733008065d521ca4a91ca9d66e6d6b0a95b3c
HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-21-784107973-3724358277-514594677-1001\Components\005DCC4654CC01556B944D4C2D674D92   D5C3E7F773A2D1F4E8C8B30B373DB6EF:C:\Users\정진우\AppData\Local\Programs\Python\Python310\tcl\tcl8.6\tzdata\America\Tegucigalpa -> C:\Users\jinwoo\AppData\Local\Programs\Python\Python310\tcl\tcl8.6\tzdata\America\Tegucigalpa
HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-21-784107973-3724358277-514594677-1001\Components\00A615B70785A6C5592B55FB947DED37   27609F76696CBBD4F83359CCFC2AD1EC:C:\Users\정진우\AppData\Local\Programs\Python\Python310\Lib\encodings\unicode_escape.py -> C:\Users\jinwoo\AppData\Local\Programs\Python\Python310\Lib\encodings\unicode_escape.py
HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-21-784107973-3724358277-514594677-1001\Components\00B72A634986EDF54AE739A1A8778CFA   27609F76696CBBD4F83359CCFC2AD1EC:C:\Users\정진우\AppData\Local\Programs\Python\Python310\Lib\lib2to3\tests\data\fixers\myfixes\fix_explicit.py -> C:\Users\jinwoo\AppData\Local\Programs\Python\Python310\Lib\lib2to3\tests\data\fixers\myfixes\fix_explicit.py
HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-21-784107973-3724358277-514594677-1001\Components\00B7F80EBE28E67519F9C97280FB4A27   D5C3E7F773A2D1F4E8C8B30B373DB6EF:C:\Users\정진우\AppData\Local\Programs\Python\Python310\tcl\tix8.4.3\pref\TK.fsc -> C:\Users\jinwoo\AppData\Local\Programs\Python\Python310\tcl\tix8.4.3\pref\TK.fsc
HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-21-784107973-3724358277-514594677-1001\Components\00C424D81A91713579721E0882CB69BF   27609F76696CBBD4F83359CCFC2AD1EC:C:\Users\정진우\AppData\Local\Programs\Python\Python310\Lib\_strptime.py -> C:\Users\jinwoo\AppData\Local\Programs\Python\Python310\Lib\_strptime.py
HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-21-784107973-3724358277-514594677-1001\Components\00D3D82E85B0784559F317816AB4C131   27609F76696CBBD4F83359CCFC2AD1EC:C:\Users\정진우\AppData\Local\Programs\Python\Python310\Lib\unittest\_log.py -> C:\Users\jinwoo\AppData\Local\Programs\Python\Python310\Lib\unittest\_log.py
HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-21-784107973-3724358277-514594677-1001\Components\00FBCD2079FC43253AD98B02DAD35B00   D5C3E7F773A2D1F4E8C8B30B373DB6EF:C:\Users\정진우\AppData\Local\Programs\Python\Python310\tcl\tcl8.6\tzdata\Antarctica\Palmer -> C:\Users\jinwoo\AppData\Local\Programs\Python\Python310\tcl\tcl8.6\tzdata\Antarctica\Palmer
HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-21-784107973-3724358277-514594677-1001\Components\01130B707ED36F25A9A3115BA7CAA3F5   D5ACF962FC0D2B346B6542FDD6AAD0E4:C:\Users\정진우\AppData\Local\Programs\Python\Python310\Lib\test\test_email\test_utils.py -> C:\Users\jinwoo\AppData\Local\Programs\Python\Python310\Lib\test\test_email\test_utils.py
HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-21-784107973-3724358277-514594677-1001\Components\011C2F93D31944357AF555EE042AEA1A   27609F76696CBBD4F83359CCFC2AD1EC:C:\Users\정진우\AppData\Local\Programs\Python\Python310\Lib\email\policy.py -> C:\Users\jinwoo\AppData\Local\Programs\Python\Python310\Lib\email\policy.py
HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-21-784107973-3724358277-514594677-1001\Components\011C7EAA71C82BA58A50AA5A9C2C17DB   D5C3E7F773A2D1F4E8C8B30B373DB6EF:C:\Users\정진우\AppData\Local\Programs\Python\Python310\Lib\idlelib\idle_test\test_stackviewer.py -> C:\Users\jinwoo\AppData\Local\Programs\Python\Python310\Lib\idlelib\idle_test\test_stackviewer.py
HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-21-784107973-3724358277-514594677-1001\Components\011F6DEF4C569CC52B3F352AF63A495F   27609F76696CBBD4F83359CCFC2AD1EC:C:\Users\정진우\AppData\Local\Programs\Python\Python310\Lib\lib2to3\Grammar.txt -> C:\Users\jinwoo\AppData\Local\Programs\Python\Python310\Lib\lib2to3\Grammar.txt
HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-21-784107973-3724358277-514594677-1001\Components\01399D8D843E95C58B9979D955188E5E   D5C3E7F773A2D1F4E8C8B30B373DB6EF:C:\Users\정진우\AppData\Local\Programs\Python\Python310\DLLs\tcl86t.dll -> C:\Users\jinwoo\AppData\Local\Programs\Python\Python310\DLLs\tcl86t.dll
